SchemaName,TableName,create_date,modify_date
adc,AuditConductionMeetingDetail,2023-11-26 15:41:05.663,2023-11-26 17:42:06.240
adc,AuditConductionMeetingExpectation,2023-11-22 12:34:25.370,2023-11-22 12:34:25.413
adc,AuditConductionMeetingFocusArea,2023-11-22 12:40:19.010,2023-11-22 12:40:19.050
adc,AuditConductionMeetingMember,2025-03-10 11:18:41.800,2026-05-03 17:05:05.577
adc,AuditConductionMeetingStatus,2025-02-26 10:05:15.467,2025-02-26 10:05:16.697
adc,AuditConductionMeetingType,2022-07-21 13:08:18.957,2022-07-21 13:13:37.607
adc,AuditConductionMovement,2023-11-26 16:21:02.607,2026-04-02 18:05:07.130
adc,AuditConductionNotificationHistory,2026-04-01 11:23:55.610,2026-05-19 16:52:59.307
adc,AuditConductionObservation,2024-05-11 16:43:09.550,2025-11-17 14:04:11.863
adc,AuditConductionObservationComment,2024-05-11 18:59:13.890,2025-05-18 17:34:45.003
adc,AuditConductionObservationControl,2022-07-21 14:34:27.447,2025-05-18 17:34:51.697
adc,AuditConductionObservationDesignAssesment,2022-07-21 14:34:22.940,2022-07-21 14:34:22.940
adc,AuditConductionObservationRecommend,2022-07-21 14:30:37.810,2022-07-21 14:30:37.810
adc,AuditConductionObservationRow,2025-12-08 12:24:36.893,2025-12-08 12:24:36.893
adc,AuditConductionObservationRowColumn,2025-12-08 12:25:40.407,2025-12-08 12:25:40.407
adc,AuditConductionObservationSubstantive,2022-07-21 14:34:31.420,2022-07-21 14:34:31.420
adc,AuditConductionObservationType,2022-07-21 12:45:01.373,2022-07-21 12:45:01.373
adc,AuditConductionPlanningDiagram,2023-11-29 16:10:58.920,2023-11-29 16:10:58.920
adc,AuditConductionPlanningDocument,2022-07-21 11:19:51.473,2022-07-21 14:31:00.143
adc,AuditConductionPlanningDocumentStage,2022-07-21 11:35:57.417,2022-07-21 11:35:57.417
adc,AuditConductionPlanningDocumentStageGroup,2022-07-21 11:36:07.150,2022-07-21 11:36:07.150
adc,AuditConductionPlanningDocumentStatus,2022-07-21 11:19:38.580,2022-07-21 11:19:38.580
adc,AuditConductionPlanningProcess,2022-07-21 11:19:57.823,2026-05-05 17:41:06.413
adc,AuditConductionPlanningSubProcess,2022-07-21 11:20:04.480,2023-11-27 11:35:45.680
adc,AuditConductionStatus,2025-02-24 14:59:06.020,2025-02-24 14:59:06.020
adc,AuditConductionStep,2022-07-21 14:33:53.483,2022-07-21 14:33:53.483
adc,AuditConductionSubstantive,2024-05-09 19:35:37.030,2026-07-13 13:26:25.633
adc,AuditConductionSubstantiveAssertion,2022-07-21 11:43:03.400,2022-07-21 11:43:03.400
adc,AuditConductionSubstantiveDetail,2022-07-21 11:42:58.500,2023-10-22 15:59:21.310
adc,AuditLifeCycleMatrix,2024-05-08 16:20:36.450,2024-05-08 16:21:31.343
adc,AuditPerformanceRating,2024-05-11 18:12:46.563,2026-07-02 16:20:16.873
adc,DispatchMatrix,2025-05-18 17:14:59.000,2025-05-18 17:15:00.570
adc,DispatchMatrixAuditType,2025-05-18 17:37:03.417,2025-05-18 17:37:03.417
adc,DispatchMatrixDispatcher,2025-05-18 17:15:17.097,2025-05-19 18:20:50.700
