SchemaName,TableName,IndexName,is_primary_key,is_unique,is_unique_constraint,key_ordinal,ColumnName
adc,AuditCondObservationDetail,IX_AuditCondObservationDetail,0,0,0,1,CreatedDate
adc,AuditCondObservationDetail,IX_AuditCondObservationDetail,0,0,0,2,ObservationCategoryId
adc,AuditCondObservationDetail,IX_AuditCondObservationDetail,0,0,0,3,AudConObsId
adc,AuditCondObservationDetail,IX_AuditCondObservationDetail,0,0,0,4,ComponentId
adc,AuditCondObservationDetail,IX_AuditCondObservationDetail,0,0,0,5,UpdatedDate
adc,AuditCondObservationDetail,PK_AuditCondObservationDetail,1,1,0,1,ObservationDetailId
adc,AuditCondObservationDetailColumn,PK__AuditCon__592B6D93FD1B434F,1,1,0,1,AuditCondObservationDetailColumnId
adc,AuditCondObservationDetailComment,PK_AuditCondObservationDetailComment,1,1,0,1,AuditCondObservationDetailCommentId
adc,AuditCondObservationTemplate,PK_AuditConductionObservationTempl,1,1,0,1,ObservationTemplateId
adc,AuditConduction,PK_AuditConduction,1,1,0,1,AuditConductionId
adc,AuditConductionComment,PK_AuditConductionComment,1,1,0,1,AuditConductionCommentId
adc,AuditConductionComponentPermission,PK_AuditConductionComponentPermission,1,1,0,1,AuditConductionComponentPermissionId
adc,AuditConductionControl,PK_AuditConductionControl,1,1,0,1,AuditConductionControlId
adc,AuditConductionControlAssertion,PK_AuditConductionControlAssertion,1,1,0,1,AuditConductionControlAssertionId
adc,AuditConductionControlDetail,PK_AuditConductionControlDetail,1,1,0,1,AuditConductionControlDetailId
adc,AuditConductionDesignAssesment,PK_AuditConductionDesignAssesment,1,1,0,1,AuditConductionDesignAssesmentId
adc,AuditConductionDocument,PK_AuditConductionDocument,1,1,0,1,AuditConductionDocumentId
adc,AuditConductionDocumentType,PK_AuditConductionDocumentType,1,1,0,1,AuditConductionDocumentTypeId
adc,AuditConductionMeeting,PK__AuditCon__B765E3D944233672,1,1,0,1,AudConMeetingId
adc,AuditConductionMeetingDeciMember,PK__AuditCon__D9AEF422C178BA0A,1,1,0,1,AuditConductionMeetingDeciMemberId
adc,AuditConductionMeetingDecision,PK__AuditCon__31161CCE50C5F187,1,1,0,1,AuditConductionMeetingDecisionId
adc,AuditConductionMeetingDetail,PK__AuditCon__04CFB550A4335566,1,1,0,1,AudConMeetingDetailId
adc,AuditConductionMeetingExpectation,PK__AuditCon__88835096A09DC3A9,1,1,0,1,AuditConductionMeetingExpectationId
adc,AuditConductionMeetingFocusArea,PK__AuditCon__AD7F070C4F5135D0,1,1,0,1,AudConMeetingFocusAreaId
adc,AuditConductionMeetingMember,PK__AuditCon__58533A6478095660,1,1,0,1,AuditConductionMeetingMemberId
adc,AuditConductionMeetingStatus,PK_AuditConductionMeetingStatus,1,1,0,1,AudConMeetingStatusId
adc,AuditConductionMeetingType,PK_AuditConductionMeetingType,1,1,0,1,AudConMeetingTypeId
adc,AuditConductionMovement,PK__AuditCon__7A1ED518DF76BB91,1,1,0,1,AuditConductionMovementId
adc,AuditConductionNotificationHistory,PK_AuditConductionNotificationHistory,1,1,0,1,AuditConductionNotificationHistoryId
adc,AuditConductionObservation,IX_AuditConductionObservation,0,0,0,1,AudConObsId
adc,AuditConductionObservation,IX_AuditConductionObservation,0,0,0,2,AuditScheduleId
adc,AuditConductionObservation,IX_AuditConductionObservation,0,0,0,3,AudConObsTypeId
adc,AuditConductionObservation,IX_AuditConductionObservation,0,0,0,4,AuditConductionId
adc,AuditConductionObservation,IX_AuditConductionObservation,0,0,0,5,CreatedBy
adc,AuditConductionObservation,PK_AuditConductionObservation,1,1,0,1,AudConObsId
adc,AuditConductionObservationComment,IX_AuditConductionObservationComment,0,0,0,1,AuditConductionObservationCommentId
adc,AuditConductionObservationComment,IX_AuditConductionObservationComment,0,0,0,2,AuditConductionId
adc,AuditConductionObservationComment,IX_AuditConductionObservationComment,0,0,0,3,AuditScheduleId
adc,AuditConductionObservationComment,IX_AuditConductionObservationComment,0,0,0,4,CommentSubAreaTypeId
adc,AuditConductionObservationComment,IX_AuditConductionObservationComment,0,0,0,5,CreatedDate
adc,AuditConductionObservationComment,PK__AuditCon__1658B627F2001A92,1,1,0,1,AuditConductionObservationCommentId
adc,AuditConductionObservationControl,IX_AuditConductionObservationControl,0,0,0,1,AudConObsId
adc,AuditConductionObservationControl,IX_AuditConductionObservationControl,0,0,0,2,AudConObsControlId
adc,AuditConductionObservationControl,IX_AuditConductionObservationControl,0,0,0,3,AuditConductionControlId
adc,AuditConductionObservationControl,PK__AuditCon__4F4F192C10580C5C,1,1,0,1,AudConObsControlId
adc,AuditConductionObservationDesignAssesment,PK__AuditCon__A47D8F47D4EA3E5D,1,1,0,1,AudConObsDesignAssesmentId
adc,AuditConductionObservationRecommend,PK__AuditCon__3BE75DE92AFEA36B,1,1,0,1,AudConObsRecomId
adc,AuditConductionObservationRow,PK_AuditConductionObservationRow,1,1,0,1,AudConObsRowId
adc,AuditConductionObservationRowColumn,PK_AuditConductionObservationRowColumn,1,1,0,1,AudConObsRowColumnId
adc,AuditConductionObservationSubstantive,PK__AuditCon__2C1A95B0D6DCCB2B,1,1,0,1,AudConObsSubstantiveId
adc,AuditConductionObservationType,PK_AuditConductionObservationType,1,1,0,1,AudConObsTypeId
adc,AuditConductionPlanningDiagram,PK__AuditCon__3D056F5B6DFD7D2A,1,1,0,1,AuditConductionPlanningDiagramId
adc,AuditConductionPlanningDocument,PK_AuditConductionPlanningDocument,1,1,0,1,AuditConductionPlanningDocumentId
adc,AuditConductionPlanningDocumentStage,PK_AuditConductionPlanningDocumentStage,1,1,0,1,AuditConductionPlanningDocumentStageId
adc,AuditConductionPlanningDocumentStageGroup,PK_AuditConductionPlanningDocumentStageGroup,1,1,0,1,AuditConductionPlanningDocumentStageGroupId
adc,AuditConductionPlanningDocumentStatus,PK_AuditConductionPlanningDocumentStatus,1,1,0,1,AuditConductionPlanningDocumentStatusId
adc,AuditConductionPlanningProcess,PK_AuditConductionPlanningProcess,1,1,0,1,AuditConductionPlanningProcessId
adc,AuditConductionPlanningSubProcess,PK_AuditConductionPlanningSubProcess,1,1,0,1,AuditConductionPlanningSubProcessId
adc,AuditConductionStatus,PK_AuditConductionStatus,1,1,0,1,AuditConductionStatusId
adc,AuditConductionStep,PK__AuditCon__111DEE2C2E9CB01C,1,1,0,1,AuditConStepId
adc,AuditConductionSubstantive,PK_AuditConductionSubstantive,1,1,0,1,AuditConductionSubstantiveId
adc,AuditConductionSubstantiveAssertion,PK_AuditConductionSubstantiveAssertion,1,1,0,1,AuditConductionSubstantiveAssertionId
adc,AuditConductionSubstantiveDetail,PK_AuditConductionSubstantiveDetail,1,1,0,1,AuditConductionSubstantiveDetailId
adc,AuditLifeCycleMatrix,PK_AuditLifeCycleMatrix,1,1,0,1,AuditLifeCycleMatrixId
adc,AuditPerformanceRating,PK__AuditPer__74372BFFCFAD8080,1,1,0,1,AuditPerformanceRatingId
adc,DispatchMatrix,PK__Dispatch__856C6337DA41BA65,1,1,0,1,DispatchMatrixId
adc,DispatchMatrixAuditType,PK_DispatchMatrixAuditType,1,1,0,1,DispatchMatrixAuditTypeId
adc,DispatchMatrixDispatcher,PK_DispatchMatrixDispatcher,1,1,0,1,DispatchMatrixDispatcherId
adc,DispatchMatrixProject,PK_DispatchMatrixProject,1,1,0,1,DispatchMatrixProjectId
adc,DispatchMatrixReportType,PK_DispatchMatrixReportType,1,1,0,1,DispatchMatrixReportTypeId
adc,DispatchMatrixRiskType,PK_DispatchMatrixRiskType,1,1,0,1,DispatchMatrixRiskTypeId
adc,DispatchMatrixUserLevel,PK_DispatchMatrixUserLevel,1,1,0,1,DispatchMatrixUserLevelId
adc,EntranceMeetingDecision,PK_EntranceMeetingDecision,1,1,0,1,EntranceMeetingDecisionId
adc,MeetingLinkEmailHistory,PK__MeetingL__21E8FE9B2FA8B834,1,1,0,1,MeetingLinkEmailHistoryId
adc,ObservationDropStatus,PK__Observat__49050CF585BD2A72,1,1,0,1,ObservationDropStatusId
adc,PlanningDocumentComment,PK_adc.PlanningDocumentComment,1,1,0,1,PlanningDocumentCommentId
adc,PlanningDocumentReqSlotDetailFile,PK__Planning__2AEFDC0959AA0B42,1,1,0,1,PlanningDocumentReqSlotDetailFileId
adc,PlanningDocumentRequisition,PK_adc.PlanningDocumentRequisition,1,1,0,1,PlanningDocumentRequisitionId
adc,PlanningDocumentRequisitionClient,PK__Planning__ABC72BE9FFF17653,1,1,0,1,PlanningDocumentRequisitionClientId
adc,PlanningDocumentRequisitionSlotDetail,PK_adc.PlanningDocumentRequisitionSlotDetail,1,1,0,1,PlanningDocumentRequisitionSlotDetailId
adc,ReportDispatch,PK__ReportDi__0A3A1FF915E20EDD,1,1,0,1,ReportDispatchId
adc,ReportDispatchDelegator,PK__ReportDi__1F935E9E0E7D927A,1,1,0,1,ReportDispatchDelegatorId
adc,ReportDispatchStatus,PK__ReportDi__DDEF9CAE126D9E97,1,1,0,1,ReportDispatchStatusId
adc,ReportSignatureType,PK_ReportSignatureType,1,1,0,1,ReportSignatureTypeId
adc,ReportWritingActionPlan,PK_ReportWritingActionPlan,1,1,0,1,ReportWritingActionPlanId
adc,ReportWritingActionPlanActionObserver,PK__ReportWr__5C4463F246D92778,1,1,0,1,ReportWritingActionPlanActionObserverId
adc,ReportWritingActionPlanActionOwner,PK__ReportWr__E1632BE5A9DDE987,1,1,0,1,ReportWritingActionPlanActionOwnerId
adc,ReportWritingActionPlanAlert,PK__ReportWr__EBB16A8DCA7E77CC,1,1,0,1,AlertId
adc,ReportWritingActionPlanDetail,PK__ReportWr__1C3F410BD1CEAD85,1,1,0,1,ReportWritingActionPlanDetailId
