SchemaName,ParentTable,ForeignKeyName,ReferencedSchema,ReferencedTable,ParentColumn,ReferencedColumn,delete_referential_action_desc,update_referential_action_desc
HangFire,State,FK_HangFire_State_Job,HangFire,Job,JobId,Id,CASCADE,CASCADE
map,Branch,FK_Branch_Upazila,map,Upazila,UpazilaId,UpazilaId,NO_ACTION,NO_ACTION
map,BranchProject,FK_BranchProject_Branch,map,Branch,BranchId,BranchId,NO_ACTION,NO_ACTION
map,BranchProject,FK_BranchProject_Project,map,Project,ProjectId,ProjectId,NO_ACTION,NO_ACTION
map,BranchProjectOrgArea,FK_BranchProjectOrgArea_OrgArea,map,OrgArea,OrgAreaId,OrgAreaId,NO_ACTION,NO_ACTION
map,BranchProjectOrgDistrict,FK_BranchProjectOrgDistrict_OrgDistrict,map,OrgDistrict,OrgDistrictId,OrgDistrictId,NO_ACTION,NO_ACTION
map,BranchProjectOrgDivision,FK_BranchProjectOrgDivision_OrgDivision,map,OrgDivision,OrgDivisionId,OrgDivisionId,NO_ACTION,NO_ACTION
map,BranchProjectOrgUpazila,FK_BranchProjectOrgUpazila_OrgUpazila,map,OrgUpazila,OrgUpazilaId,OrgUpazilaId,NO_ACTION,NO_ACTION
map,BranchProjectRisk,FK_BranchProjectRisk_BranchProject,map,BranchProject,BranchProjectId,BranchProjectId,NO_ACTION,NO_ACTION
map,BranchProjectRisk,FK_BranchProjectRisk_RiskType,std,RiskType,RiskTypeId,RiskTypeId,NO_ACTION,NO_ACTION
map,BranchProjectRiskDetail,FK_BranchProjectRiskDetail_BranchProjectRisk,map,BranchProjectRisk,BranchProjectRiskId,BranchProjectRiskId,NO_ACTION,NO_ACTION
map,District,FK_District_Division,map,Division,DivisionId,DivisionId,NO_ACTION,NO_ACTION
map,Division,FK_Division_Country,map,Country,CountryId,CountryId,NO_ACTION,NO_ACTION
map,Organization,FK_Organization_Country,map,Country,CountryId,CountryId,NO_ACTION,NO_ACTION
map,Programme,FK_Programme_ProgrammeGroup,map,ProgrammeGroup,ProgrammeGroupId,ProgrammeGroupId,NO_ACTION,NO_ACTION
map,Project,FK_Project_Programme,map,Programme,ProgrammeId,ProgrammeId,NO_ACTION,NO_ACTION
map,Project,FK_Project_SubProgramme,map,SubProgramme,SubProgrammeId,SubProgrammeId,NO_ACTION,NO_ACTION
map,Upazila,FK_Upazila_District,map,District,DistrictId,DistrictId,NO_ACTION,NO_ACTION
pld,PlanningDiagramFile,FK_PlanningDiagramFile_PlanningDiagram,pld,PlanningDiagram,PlanningDiagramId,PlanningDiagramId,NO_ACTION,NO_ACTION
pld,PlanningDocument,FK_PlanningDocument_Project,map,Project,ProjectId,ProjectId,NO_ACTION,NO_ACTION
pld,PlanningDocument,FK_PlanningDocument_RiskType,std,RiskType,RiskTypeId,RiskTypeId,NO_ACTION,NO_ACTION
pld,PlanningProcess,FK_PlanningProcess_PlanningDocument,pld,PlanningDocument,PlanningDocumentId,PlanningDocumentId,NO_ACTION,NO_ACTION
pld,PlanningSubProcess,FK_PlanningSubProcess_PlanningProcess,pld,PlanningProcess,PlanningProcessId,PlanningProcessId,NO_ACTION,NO_ACTION
pld,PlanningSubProcess,FK_PlanningSubProcess_RiskType,std,RiskType,RiskTypeId,RiskTypeId,NO_ACTION,NO_ACTION
sec,AppComponent,FK_AppComponent_AppComponentGroup,sec,AppComponentGroup,ComponentGroupId,ComponentGroupId,NO_ACTION,NO_ACTION
sec,AppComponent,FK_AppComponent_AppComponentType,sec,AppComponentType,ComponentTypeId,ComponentTypeId,NO_ACTION,NO_ACTION
sec,AppComponentGroup,FK_AppComponentGroup_AppComponentSection,sec,AppComponentSection,ComponentSectionId,ComponentSectionId,NO_ACTION,NO_ACTION
sec,AppRoleAndPermission,FK_AppRoleAndPermission_AspNetRoles,sec,AspNetRoles,RoleId,Id,NO_ACTION,NO_ACTION
